Date,CPI_all_items,CPI_excl_food_energy,CPI_Energy,CPI_Energy_Commo,CPI_Energy_Ser,PCE,CSI,copper_value,alu_value
2014-12-01,0.65312,1.62242,-11.0677,-20.82224,3.7175,0.73226,13.45455,6446.45238095238,1909.45952380952
2015-01-01,-0.22993,1.63163,-20.13821,-34.59511,1.66763,0.0414,20.81281,5830.53571428571,1814.71904761905
2015-02-01,-0.08703,1.68808,-18.76723,-31.93502,0.8175,0.1707,16.91176,5729.275,1817.82
2015-03-01,-0.02203,1.74538,-17.68436,-28.07911,-2.93954,0.19935,16.25,5939.67045454545,1773.86363636364
2015-04-01,-0.10403,1.80283,-18.52488,-30.25245,-1.26697,0.11032,14.03092,6042.0875,1819.1875
2015-05-01,0.03503,1.75094,-16.14683,-25.08062,-3.32862,0.18529,10.74481,6294.77631578947,1804.03947368421
2015-06-01,0.17957,1.77727,-15.09687,-23.58318,-2.88874,0.27043,16.48485,5833.01136363636,1687.72727272727
2015-07-01,0.22569,1.83463,-14.92338,-22.84635,-3.63509,0.21973,13.81418,5456.75,1639.5
2015-08-01,0.2413,1.85063,-15.10792,-23.73115,-2.91636,0.23927,11.39394,5127.3,1548.125
2015-09-01,0.00884,1.8971,-18.36182,-29.60108,-2.84441,0.0657,3.07329,5217.25,1589.60227272727
2015-10-01,0.12762,1.91353,-17.48284,-28.34817,-2.87783,0.0955,3.56732,5216.09090909091,1516.48863636364
2015-11-01,0.43632,1.99743,-14.80333,-24.23181,-2.78314,0.25388,2.81532,4799.90476190476,1467.89285714286
2015-12-01,0.63872,2.07151,-12.99237,-20.34929,-4.52492,0.34596,-1.06838,4638.83333333333,1497.20238095238
2016-01-01,1.2375,2.14502,-7.34822,-10.0791,-4.70824,0.87115,-6.21814,4471.7875,1481.1
2016-02-01,0.84728,2.22257,-13.11194,-21.50822,-4.80655,0.64033,-3.87841,4598.61904761905,1531.2619047619
2016-03-01,0.89162,2.14243,-11.43242,-18.84303,-3.69113,0.68551,-2.15054,4953.79761904762,1531.0119047619
2016-04-01,1.17263,2.15665,-8.28384,-13.23222,-3.12878,0.92591,-7.19499,4872.7380952381,1571.22619047619
2016-05-01,1.07848,2.25456,-9.75102,-16.75776,-1.93231,0.84869,4.41014,4694.5375,1550.625
2016-06-01,1.07929,2.26221,-9.01634,-14.85503,-2.3234,0.82961,-2.70552,4641.96590909091,1593.50681818182
2016-07-01,0.86836,2.17014,-10.6685,-19.45394,-0.64503,0.75508,-3.32975,4864.90476190476,1629.04761904762
2016-08-01,1.05532,2.30873,-9.49616,-18.00902,-0.05912,0.88821,-2.28509,4751.67045454545,1639.28409090909
2016-09-01,1.54864,2.27112,-2.53643,-5.93136,0.87258,1.21977,4.58716,4722.20454545455,1592.36363636364
2016-10-01,1.68592,2.20456,0.18557,-0.83003,1.25988,1.427,-3.11111,4731.2619047619,1665.90476190476
2016-11-01,1.68433,2.14542,0.64475,-0.01968,1.38268,1.3974,2.73823,5450.93181818182,1737.11363636364
2016-12-01,2.0508,2.19712,4.92787,7.99147,2.11411,1.65716,6.04752,5660.35,1727.7375
2017-01-01,2.51039,2.25021,10.86944,19.88145,2.83221,2.00521,7.06522,5754.55952380952,1791.2380952381
2017-02-01,2.81036,2.23535,15.721,30.60916,3.71535,2.19714,5.01636,5940.9125,1860.75
2017-03-01,2.4412,2.04585,11.13623,20.16245,3.34829,1.90636,6.48352,5824.63043478261,1901.46739130435
2017-04-01,2.17622,1.89657,8.69838,13.52599,4.32005,1.76747,8.98876,5683.90277777778,1921.22222222222
2017-05-01,1.85634,1.73709,5.2244,5.81187,4.68383,1.55777,2.53432,5599.55952380952,1913.02380952381
2017-06-01,1.64057,1.69912,2.54486,0.03194,4.9609,1.46555,1.60428,5719.76136363636,1885.28636363636
2017-07-01,1.72511,1.67696,3.6753,3.44186,3.88466,1.48563,3.77778,5985.11904761905,1902.96428571429
2017-08-01,1.92812,1.65524,6.71604,10.70722,3.17461,1.57191,7.7951,6485.625,2030.01136363636
2017-09-01,2.18057,1.59539,10.65318,19.79451,2.34659,1.75744,4.27632,6577.16666666667,2096.4880952381
2017-10-01,2.02076,1.75964,6.30119,10.79646,2.04856,1.68204,15.48165,6807.60227272727,2131.48863636364
2017-11-01,2.17249,1.73761,8.49154,14.83271,2.44079,1.79371,5.01066,6826.54545454545,2097.44090909091
2017-12-01,2.12993,1.77017,7.04766,11.18409,2.95706,1.76641,-2.34216,6833.8947368421,2080.47368421053
2018-01-01,2.15132,1.89127,5.59286,8.52019,1.99986,1.75765,-2.84264,7065.85227272727,2209.72727272727
2018-02-01,2.26347,1.8777,7.84195,12.35802,2.6641,1.83761,3.53063,7006.525,2181.7875
2018-03-01,2.33095,2.12278,6.51367,10.09002,2.59715,1.99829,4.64396,6799.17857142857,2069.2380952381
2018-04-01,2.471,2.15064,7.98752,14.29481,1.15002,2.04663,1.85567,6851.5125,2254.6875
2018-05-01,2.78192,2.273,11.3863,22.30427,0.52156,2.26621,0.92688,6825.27380952381,2299.66666666667
2018-06-01,2.80755,2.24552,11.69771,24.04604,-0.40064,2.26831,3.36842,6965.85714285714,2237.61904761905
2018-07-01,2.85412,2.2676,12.21211,25.8494,-0.77959,2.33861,4.81799,6250.75,2082.23863636364
2018-08-01,2.64292,2.12089,10.58873,21.04745,-0.26805,2.18041,-0.61983,6051.04545454545,2051.51136363636
2018-09-01,2.33206,2.19768,5.28011,10.26143,-1.12628,2.00996,5.25762,6050.7625,2026.4625
2018-10-01,2.49203,2.12641,8.49334,15.8959,-0.2834,2.0531,-2.0854,6219.58695652174,2029.85869565217
2018-11-01,2.14733,2.21538,2.55953,4.70679,-0.40922,1.94189,-1.01523,6195.92045454545,1938.51136363636
2018-12-01,2.00238,2.24853,0.02622,-1.21145,1.2784,1.86469,2.50261,6075.31578947368,1920.38157894737
2019-01-01,1.48759,2.17943,-5.77114,-10.89597,0.80553,1.43183,-4.70219,5939.10227272727,1853.71590909091
2019-02-01,1.51886,2.14109,-5.44969,-8.97369,-0.90503,1.40017,-5.91775,6300.4875,1862.9875
2019-03-01,1.88319,2.06656,-0.36436,-0.50625,-0.18816,1.52181,-2.95858,6439.46428571429,1871.21428571429
2019-04-01,2.00058,2.09134,1.48518,2.68378,-0.06509,1.56634,-1.61943,6438.3625,1845.425
2019-05-01,1.79591,1.97243,-0.23615,0.06902,-0.6367,1.46555,2.04082,6017.90476190476,1781.2619047619
2019-06-01,1.67119,2.0746,-2.72509,-4.62186,-0.21539,1.42607,0.0,5882.225,1755.95
2019-07-01,1.82633,2.1657,-1.47002,-2.71269,0.16967,1.45393,0.51073,5941.19565217391,1796.98913043478
2019-08-01,1.73764,2.32114,-4.01022,-6.72178,-0.37441,1.43042,-6.65281,5709.44047619048,1740.67857142857
2019-09-01,1.6845,2.33001,-4.88491,-8.81664,0.5254,1.28395,-6.89311,5759.25,1753.5119047619
2019-10-01,1.73397,2.33781,-4.75794,-8.42063,0.3148,1.28856,-3.14402,5757.29782608696,1725.95652173913
2019-11-01,2.09229,2.3547,-0.46316,-0.97147,0.19978,1.35828,-0.71795,5859.95238095238,1774.78571428571
2019-12-01,2.31953,2.2906,3.53415,7.9801,-1.83901,1.56376,1.01729,6077.0625,1771.38
2020-01-01,2.51226,2.27484,6.50289,12.75508,-0.50407,1.72531,9.42982,6031.20909090909,1773.09090909091
2020-02-01,2.33974,2.37991,2.78221,5.13393,-0.05496,1.65798,7.67591,5687.75,1688.095
2020-03-01,1.52314,2.10309,-5.87343,-10.54297,-0.54797,1.14777,-9.45122,5182.63181818182,1610.89090909091
2020-04-01,0.34988,1.45002,-17.5807,-31.48802,-0.29581,0.44214,-26.13169,5057.972,1459.9345
2020-05-01,0.21622,1.23714,-18.32235,-33.14135,-0.05758,0.46309,-27.7,5239.82631578947,1466.37157894737
2020-06-01,0.70177,1.17988,-12.39217,-23.2263,0.29421,0.72378,-20.46843,5754.59545454546,1568.57045454545
2020-07-01,1.01876,1.55462,-11.04174,-20.34001,0.04185,0.90907,-26.32114,6372.46086956522,1643.81217391304
2020-08-01,1.3006,1.71027,-9.14766,-17.0358,-0.0069,1.17392,-17.4833,6508.39285714286,1738.55523809524
2020-09-01,1.37308,1.70658,-7.76424,-15.72529,1.38535,1.26575,-13.73391,6704.9,1743.77454545455
2020-10-01,1.20317,1.6266,-9.13977,-18.08446,1.32756,1.14418,-14.34555,6713.81136363636,1806.10181818182
2020-11-01,1.16954,1.66411,-9.47638,-19.14404,2.13954,1.15454,-20.55785,7068.90714285714,1935.28333333333
2020-12-01,1.30495,1.62394,-7.21223,-14.96796,2.53489,1.32589,-18.73112,7772.2380952381,2014.6719047619
2021-01-01,1.3951,1.39634,-3.5069,-8.05806,1.90329,1.59358,-20.84168,7972.1475,2003.9755
2021-02-01,1.67293,1.27561,2.35445,1.64339,3.173,1.84617,-23.9604,8470.94,2078.5935
2021-03-01,2.61863,1.6449,12.96871,21.58359,4.04842,2.66662,-4.7138,8988.24782608696,2190.48260869565
2021-04-01,4.14874,2.96054,24.87331,47.86906,5.4479,3.67474,22.9805,9324.8175,2319.3925
2021-05-01,4.92636,3.77946,28.00664,54.50092,6.35784,4.10917,14.66113,10166.285,2434.7765
2021-06-01,5.31509,4.41846,24.4551,44.44151,6.55784,4.33164,9.47503,9631.5,2446.64545454545
2021-07-01,5.25758,4.20349,23.50015,40.51348,7.44387,4.50537,12.0,9450.82045454546,2497.63545454545
2021-08-01,5.17531,3.95059,24.70134,41.31746,8.69717,4.60782,-5.12821,9370.13857142857,2602.99190476191
2021-09-01,5.36101,4.02008,24.69411,41.50469,8.56655,4.76077,-9.45274,9324.70954545455,2834.55681818182
2021-10-01,6.21904,4.5837,29.78276,49.45914,11.18711,5.36125,-12.34719,9829.21904761905,2934.39380952381
2021-11-01,6.86253,4.9732,33.34603,57.57069,10.47698,5.97292,-12.35371,9728.90454545454,2636.45227272727
2021-12-01,7.17658,5.50455,30.11967,49.66728,10.19054,6.17939,-12.51549,9551.18,2695.53142857143
2022-01-01,7.56977,6.06053,27.39719,40.70607,13.24617,6.30921,-14.93671,9782.3375,3005.9805
2022-02-01,7.94892,6.45242,25.80558,38.153,12.15983,6.59147,-18.22917,9943.175,3245.7855
2022-03-01,8.54743,6.47607,31.77246,47.8466,13.37981,6.96708,-30.03534,10230.8939130435,3498.37304347826
2022-04-01,8.25186,6.15716,30.21047,44.69143,13.84052,6.70154,-26.16082,10174.3476190476,3246.99047619048
2022-05-01,8.533,6.01755,34.43961,50.3643,16.44389,6.80138,-29.55368,9395.02727272727,2839.50545454545
2022-06-01,8.98974,5.90342,41.56329,60.66367,19.69814,7.24887,-41.52047,9067.55181818182,2575.66954545455
2022-07-01,8.44982,5.90176,32.62864,44.26665,19.04369,6.76001,-36.57635,7544.80952380952,2408.42333333333
2022-08-01,8.21881,6.2998,23.71428,26.80564,19.93901,6.63689,-17.21195,7990.81217391304,2433.91608695652
2022-09-01,8.19827,6.64045,19.80089,19.62098,19.81885,6.66079,-19.50549,7746.01136363636,2224.75590909091
