DATE,CPIAUCSL_PC1,PCEPI_PC1,CPIAUCSL_PC1_PCEPI_PC1,CPILFESL_PC1
2014-05-01,2.16695,1.76617,0.40078,1.94553
2014-06-01,2.05898,1.65146,0.40752,1.92286
2014-07-01,1.97424,1.66924,0.30500,1.84496
2014-08-01,1.71510,1.50624,0.20886,1.73640
2014-09-01,1.68405,1.49725,0.18680,1.74095
2014-10-01,1.60954,1.33294,0.27660,1.81763
2014-11-01,1.23152,1.08576,0.14576,1.74159
2014-12-01,0.65312,0.73226,-0.07914,1.62242
2015-01-01,-0.22993,0.04140,-0.27133,1.63163
2015-02-01,-0.08703,0.17070,-0.25773,1.68808
2015-03-01,-0.02203,0.19935,-0.22138,1.74538
2015-04-01,-0.10403,0.11032,-0.21435,1.80283
2015-05-01,0.03503,0.18529,-0.15026,1.75094
2015-06-01,0.17957,0.27043,-0.09086,1.77727
2015-07-01,0.22569,0.21973,0.00596,1.83463
2015-08-01,0.24130,0.23927,0.00203,1.85063
2015-09-01,0.00884,0.06570,-0.05686,1.89710
2015-10-01,0.12762,0.09550,0.03212,1.91353
2015-11-01,0.43632,0.25388,0.18244,1.99743
2015-12-01,0.63872,0.34596,0.29276,2.07151
2016-01-01,1.23750,0.87115,0.36635,2.14502
2016-02-01,0.84728,0.64033,0.20695,2.22257
2016-03-01,0.89162,0.68551,0.20611,2.14243
2016-04-01,1.17263,0.92591,0.24672,2.15665
2016-05-01,1.07848,0.84869,0.22979,2.25456
2016-06-01,1.07929,0.82961,0.24968,2.26221
2016-07-01,0.86836,0.75508,0.11328,2.17014
2016-08-01,1.05532,0.88821,0.16711,2.30873
2016-09-01,1.54864,1.21977,0.32887,2.27112
2016-10-01,1.68592,1.42700,0.25892,2.20456
2016-11-01,1.68433,1.39740,0.28693,2.14542
2016-12-01,2.05080,1.65716,0.39364,2.19712
2017-01-01,2.51039,2.00521,0.50518,2.25021
2017-02-01,2.81036,2.19714,0.61322,2.23535
2017-03-01,2.44120,1.90636,0.53484,2.04585
2017-04-01,2.17622,1.76747,0.40875,1.89657
2017-05-01,1.85634,1.55777,0.29857,1.73709
2017-06-01,1.64057,1.46555,0.17502,1.69912
2017-07-01,1.72511,1.48563,0.23948,1.67696
2017-08-01,1.92812,1.57191,0.35621,1.65524
2017-09-01,2.18057,1.75744,0.42313,1.59539
2017-10-01,2.02076,1.68204,0.33872,1.75964
2017-11-01,2.17249,1.79371,0.37878,1.73761
2017-12-01,2.12993,1.76641,0.36352,1.77017
2018-01-01,2.15132,1.75765,0.39367,1.89127
2018-02-01,2.26347,1.83761,0.42586,1.87770
2018-03-01,2.33095,1.99829,0.33266,2.12278
2018-04-01,2.47100,2.04663,0.42437,2.15064
2018-05-01,2.78192,2.26621,0.51571,2.27300
2018-06-01,2.80755,2.26831,0.53924,2.24552
2018-07-01,2.85412,2.33861,0.51551,2.26760
2018-08-01,2.64292,2.18041,0.46251,2.12089
2018-09-01,2.33206,2.00996,0.32210,2.19768
2018-10-01,2.49203,2.05310,0.43893,2.12641
2018-11-01,2.14733,1.94189,0.20544,2.21538
2018-12-01,2.00238,1.86469,0.13769,2.24853
2019-01-01,1.48759,1.49705,-0.00946,2.17943
2019-02-01,1.51886,1.42581,0.09305,2.14109
2019-03-01,1.88319,1.50900,0.37419,2.06656
2019-04-01,2.00058,1.57715,0.42343,2.09134
2019-05-01,1.79591,1.45672,0.33919,1.97243
2019-06-01,1.67119,1.41136,0.25983,2.07460
2019-07-01,1.82633,1.44022,0.38611,2.16570
2019-08-01,1.73764,1.42161,0.31603,2.32114
2019-09-01,1.68450,1.30446,0.38004,2.33001
2019-10-01,1.73397,1.33145,0.40252,2.33781
2019-11-01,2.09229,1.33197,0.76032,2.35470
2019-12-01,2.31953,1.53942,0.78011,2.29060
2020-01-01,2.51226,1.69792,0.81434,2.27484
2020-02-01,2.33974,1.64201,0.69773,2.37991
2020-03-01,1.52314,1.14695,0.37619,2.10309
2020-04-01,0.34988,0.41114,-0.06126,1.45002
2020-05-01,0.21622,0.44863,-0.23241,1.23714
