"location_name","location_type","location_fips_code","population","state","county","metro","year","month","rent_change_mom","rent_change_yoy","rent_change_pandemic","price_overall","price_1br","price_2br"
"United States","National",0,331097593,,,,2024,11,-0.0082,-0.0062,0.1887,1382,1214,1368
"Abilene, TX","Metro",10180,176656,,,"Abilene, TX",2024,11,-4e-04,-0.0096,0.2253,1106,866,1103
"Akron, OH","Metro",10420,700578,,,"Akron, OH",2024,11,-0.0109,0.0286,0.3205,1060,816,1080
"Albany-Schenectady-Troy, NY","Metro",10580,901729,,,"Albany-Schenectady-Troy, NY",2024,11,-0.0094,-0.0155,0.2671,1301,1134,1383
"Albuquerque, NM","Metro",10740,915968,,,"Albuquerque, NM",2024,11,-0.0014,0.0226,0.4379,1231,986,1249
"Allentown-Bethlehem-Easton, PA-NJ","Metro",10900,863166,,,"Allentown-Bethlehem-Easton, PA-NJ",2024,11,-0.0033,0.0349,0.3335,1413,1147,1472
"Anchorage, AK","Metro",11260,399335,,,"Anchorage, AK",2024,11,0.0019,0.0386,0.4688,1666,1195,1632
"Ann Arbor, MI","Metro",11460,370231,,,"Ann Arbor, MI",2024,11,-0.0153,0.0318,0.1861,1411,1217,1490
"Asheville, NC","Metro",11700,469484,,,"Asheville, NC",2024,11,-0.0045,0.0049,0.3614,1368,1242,1344
"Athens-Clarke County, GA","Metro",12020,216194,,,"Athens-Clarke County, GA",2024,11,-0.0074,0.0177,0.2915,1221,1047,1199
"Atlanta-Sandy Springs-Alpharetta, GA","Metro",12060,6094752,,,"Atlanta-Sandy Springs-Alpharetta, GA",2024,11,-0.0074,-0.0311,0.1757,1446,1321,1390
"Augusta-Richmond County, GA-SC","Metro",12260,612898,,,"Augusta-Richmond County, GA-SC",2024,11,0.0021,0.0202,0.2195,1200,1005,1120
"Austin-Round Rock-Georgetown, TX","Metro",12420,2296377,,,"Austin-Round Rock-Georgetown, TX",2024,11,-0.0116,-0.069,0.0905,1381,1214,1457
"Baltimore-Columbia-Towson, MD","Metro",12580,2840005,,,"Baltimore-Columbia-Towson, MD",2024,11,-0.0054,0.0254,0.224,1737,1417,1805
"Baton Rouge, LA","Metro",12940,869755,,,"Baton Rouge, LA",2024,11,-0.0082,0.0172,0.2043,1150,961,1124
"Beaumont-Port Arthur, TX","Metro",13140,396279,,,"Beaumont-Port Arthur, TX",2024,11,-0.0109,0.0087,0.0629,1038,836,1028
"Bend, OR","Metro",13460,199352,,,"Bend, OR",2024,11,-0.0139,-0.0039,0.1817,1636,1232,1491
"Birmingham-Hoover, AL","Metro",13820,1114368,,,"Birmingham-Hoover, AL",2024,11,-0.0093,0.0036,0.1954,1191,1067,1161
"Bloomington, IN","Metro",14020,161426,,,"Bloomington, IN",2024,11,0.0104,-0.0311,0.2136,1182,1035,1177
"Boise City, ID","Metro",14260,771602,,,"Boise City, ID",2024,11,-0.0132,0.0188,0.2854,1314,1060,1237
