Source: IEA. Licence: CC BY 4.0
This data is subject to the IEA's terms and conditions: https://www.iea.org/t_c/termsandconditions/
;Mineral price index
Jan-20;100
Feb-20;99
Mar-20;95
Apr-20;91
May-20;91
Jun-20;93
Jul-20;95
Aug-20;101
Sep-20;102
Oct-20;103
Nov-20;108
Dec-20;116
Jan-21;126
Feb-21;139
Mar-21;146
Apr-21;143
May-21;141
Jun-21;140
Jul-21;149
Aug-21;158
Sep-21;169
Oct-21;178
Nov-21;197
Dec-21;208
Jan-22;248
Feb-22;284
Mar-22;311
Apr-22;297
May-22;272
Jun-22;266
Jul-22;260
Aug-22;250
Sep-22;247
Oct-22;258
Nov-22;267
Dec-22;275
Jan-23;276
Feb-23;258
Mar-23;229
Apr-23;200
May-23;188
Jun-23;194
Jul-23;188
Aug-23;177
Sep-23;169
Oct-23;154
Nov-23;148
Dec-23;131
Jan-24;123
Feb-24;119
Mar-24;119
Apr-24;123
